City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Ponta Do Sol,PT,2021-01-14 21:34:31,32.6667,-17.1,55.0,47,28,5.01
1,Vaini,TO,2021-01-14 21:37:33,-21.2,-175.2,84.2,79,20,8.05
2,Nenjiang,CN,2021-01-14 21:41:16,49.1833,125.2167,-20.07,85,0,3.96
3,Albany,US,2021-01-14 21:34:10,42.6001,-73.9662,37.0,69,100,1.21
4,Theunissen,ZA,2021-01-14 21:41:16,-28.411,26.7011,68.61,78,18,5.59
5,Nantucket,US,2021-01-14 21:37:05,41.2835,-70.0995,44.6,81,90,5.75
6,Rikitea,PF,2021-01-14 21:37:39,-23.1203,-134.9692,77.58,72,77,10.13
7,Nikolskoye,RU,2021-01-14 21:41:17,59.7035,30.7861,5.0,78,75,2.24
8,Sidney,AU,2021-01-14 21:36:48,-33.8679,151.2073,73.0,83,75,6.91
9,Busselton,AU,2021-01-14 21:41:17,-33.65,115.3333,60.01,76,37,5.01
10,Avarua,CK,2021-01-14 21:41:17,-21.2078,-159.775,84.2,70,75,16.11
11,Punta Arenas,CL,2021-01-14 21:41:18,-53.15,-70.9167,55.4,71,20,12.66
12,Luzhou,CN,2021-01-14 21:41:19,28.8724,105.4405,44.94,72,0,2.42
13,Bambous Virieux,MU,2021-01-14 21:37:53,-20.3428,57.7575,77.0,88,40,9.17
14,Beringovskiy,RU,2021-01-14 21:41:19,63.05,179.3167,-16.55,87,23,7.78
15,New Norfolk,AU,2021-01-14 21:33:44,-42.7826,147.0587,55.99,56,8,2.42
16,Jega,NG,2021-01-14 21:41:20,12.2175,4.3792,73.62,18,0,10.25
17,Pangnirtung,CA,2021-01-14 21:37:53,66.1451,-65.7125,-14.8,76,20,2.24
18,Goderich,CA,2021-01-14 21:39:20,43.7501,-81.7165,37.4,81,100,9.22
19,Cabo San Lucas,MX,2021-01-14 21:35:53,22.8909,-109.9124,75.2,33,1,5.75
20,Ahipara,NZ,2021-01-14 21:39:09,-35.1667,173.1667,72.05,59,2,6.08
21,Bilibino,RU,2021-01-14 21:41:21,68.0546,166.4372,-21.78,83,98,0.72
22,Chokurdakh,RU,2021-01-14 21:38:46,70.6333,147.9167,-20.6,88,82,8.93
23,Dali,CN,2021-01-14 21:41:21,25.7,100.1833,38.48,78,93,0.38
24,Port Alfred,ZA,2021-01-14 21:37:47,-33.5906,26.891,74.35,89,100,22.93
25,Longyearbyen,SJ,2021-01-14 21:37:37,78.2186,15.6401,26.6,80,75,8.05
26,Shingu,JP,2021-01-14 21:41:21,33.7333,135.9833,42.96,66,76,5.08
27,Upernavik,GL,2021-01-14 21:37:38,72.7868,-56.1549,18.27,96,100,3.13
28,Butaritari,KI,2021-01-14 21:37:38,3.0707,172.7902,81.32,77,39,22.62
29,Mataura,NZ,2021-01-14 21:37:42,-46.1927,168.8643,73.0,66,38,1.99
30,Mar Del Plata,AR,2021-01-14 21:37:35,-38.0023,-57.5575,69.8,78,0,20.71
31,Kapaa,US,2021-01-14 21:34:10,22.0752,-159.319,77.0,78,90,10.36
32,Fairbanks,US,2021-01-14 21:35:08,64.8378,-147.7164,-9.4,77,40,2.3
33,Cape Town,ZA,2021-01-14 21:41:04,-33.9258,18.4232,66.99,94,75,12.66
34,Hilo,US,2021-01-14 21:40:46,19.7297,-155.09,82.4,54,40,8.05
35,Faya,SA,2021-01-14 21:37:49,18.3851,42.4509,50.0,81,0,3.74
36,Tulum,MX,2021-01-14 21:41:23,20.2167,-87.4667,77.0,88,75,11.5
37,San Miguel De Cauri,PE,2021-01-14 21:41:23,-10.1,-76.5833,53.67,69,99,7.56
38,Mumford,GH,2021-01-14 21:41:24,5.2618,-0.759,79.5,86,76,9.95
39,Kununurra,AU,2021-01-14 21:41:24,-15.7667,128.7333,77.0,100,83,5.75
40,Castro,BR,2021-01-14 21:37:04,-24.7911,-50.0119,68.13,81,48,10.69
41,Luderitz,NA,2021-01-14 21:37:51,-26.6481,15.1594,65.41,83,24,6.93
42,Airai,TL,2021-01-14 21:34:15,-8.9266,125.4092,62.64,100,90,0.56
43,Charters Towers,AU,2021-01-14 21:41:25,-20.1,146.2667,75.02,69,76,8.37
44,Clyde River,CA,2021-01-14 21:38:28,70.4692,-68.5914,-13.0,77,1,4.61
45,Taltal,CL,2021-01-14 21:41:25,-25.4,-70.4833,68.49,61,23,7.2
46,Tasiilaq,GL,2021-01-14 21:37:51,65.6145,-37.6368,35.6,80,90,11.5
47,Awjilah,LY,2021-01-14 21:41:25,29.1081,21.2869,53.76,85,0,7.49
48,Udachnyy,RU,2021-01-14 21:41:26,66.4167,112.4,-26.81,83,100,14.23
49,Hobart,AU,2021-01-14 21:37:35,-42.8794,147.3294,57.0,71,75,8.05
50,Karratha,AU,2021-01-14 21:38:52,-20.7377,116.8463,91.81,46,50,6.06
51,Bluff,NZ,2021-01-14 21:37:37,-46.6,168.3333,73.0,66,21,1.99
